sensor_id,timestamp,value,unit
0,2025-06-04T15:43:08.572455,72.00308271058267,%
1,2025-06-04T15:43:08.573461,15.652186895007986,°C
2,2025-06-04T15:43:08.593454,1013.6962527198478,hPa
3,2025-06-04T15:43:08.611877,34.47300374387219,AQI
0,2025-06-04T15:43:09.122660,72.00308271058267,%
1,2025-06-04T15:43:09.123667,15.652186895007986,°C
2,2025-06-04T15:43:09.144654,1013.6962527198478,hPa
3,2025-06-04T15:43:09.164647,34.47300374387219,AQI
0,2025-06-04T15:43:09.682462,62.42179633795134,%
1,2025-06-04T15:43:09.683470,38.28212884752236,°C
2,2025-06-04T15:43:09.703463,984.0354620416831,hPa
3,2025-06-04T15:43:09.724450,32.12599633741037,AQI
0,2025-06-04T15:43:10.246383,62.42179633795134,%
1,2025-06-04T15:43:10.247389,38.28212884752236,°C
2,2025-06-04T15:43:10.267375,984.0354620416831,hPa
3,2025-06-04T15:43:10.288368,32.12599633741037,AQI
0,2025-06-04T15:43:10.802328,80.92270843669253,%
1,2025-06-04T15:43:10.802844,-13.477880820679923,°C
2,2025-06-04T15:43:10.823837,1037.1363003057247,hPa
3,2025-06-04T15:43:10.836827,98.98048087528072,AQI
0,2025-06-04T15:43:11.346153,80.92270843669253,%
1,2025-06-04T15:43:11.347163,-13.477880820679923,°C
2,2025-06-04T15:43:11.367152,1037.1363003057247,hPa
3,2025-06-04T15:43:11.379139,98.98048087528072,AQI
0,2025-06-04T15:43:11.892193,67.87100040362067,%
1,2025-06-04T15:43:11.893206,16.77391267251226,°C
2,2025-06-04T15:43:11.911188,968.5965491899224,hPa
3,2025-06-04T15:43:11.925179,299.5394790680706,AQI
0,2025-06-04T15:43:12.426825,67.87100040362067,%
1,2025-06-04T15:43:12.427831,16.77391267251226,°C
2,2025-06-04T15:43:12.448834,968.5965491899224,hPa
3,2025-06-04T15:43:12.469816,299.5394790680706,AQI
0,2025-06-04T15:43:12.989926,80.71790873724561,%
1,2025-06-04T15:43:12.989926,38.024152051761604,°C
2,2025-06-04T15:43:13.011410,1008.4849688585723,hPa
3,2025-06-04T15:43:13.025403,163.73625975436101,AQI
0,2025-06-04T15:43:13.537308,80.71790873724561,%
1,2025-06-04T15:43:13.538318,38.024152051761604,°C
2,2025-06-04T15:43:13.558301,1008.4849688585723,hPa
3,2025-06-04T15:43:13.570298,163.73625975436101,AQI
0,2025-06-04T15:43:14.082886,75.29431085400793,%
1,2025-06-04T15:43:14.082886,14.65588821971238,°C
2,2025-06-04T15:43:14.092885,1002.2300246274093,hPa
3,2025-06-04T15:43:14.101880,76.96861975749108,AQI
0,2025-06-04T15:43:14.612667,75.29431085400793,%
1,2025-06-04T15:43:14.613180,14.65588821971238,°C
2,2025-06-04T15:43:14.633176,1002.2300246274093,hPa
3,2025-06-04T15:43:14.649164,76.96861975749108,AQI
0,2025-06-04T15:43:15.162403,89.39810166565198,%
1,2025-06-04T15:43:15.163417,44.16202578633555,°C
2,2025-06-04T15:43:15.181403,1017.0232150805099,hPa
3,2025-06-04T15:43:15.193398,28.012017505039786,AQI
0,2025-06-04T15:43:15.707245,89.39810166565198,%
1,2025-06-04T15:43:15.708251,44.16202578633555,°C
2,2025-06-04T15:43:15.728237,1017.0232150805099,hPa
3,2025-06-04T15:43:15.748529,28.012017505039786,AQI
0,2025-06-04T15:43:16.259661,69.36250849257563,%
1,2025-06-04T15:43:16.260668,-9.149531756313284,°C
2,2025-06-04T15:43:16.280662,987.012922579878,hPa
3,2025-06-04T15:43:16.295645,247.48298780222876,AQI
0,2025-06-04T15:43:16.808513,69.36250849257563,%
